qSpecies_string,species_id,confidence
Ceratonia siliqua,657539eb-19ef-52da-9f12-e3a74ed27c51,1.00
Prunus blireiana,34f2861c-9d3f-513b-bec5-e05242de512b,1.00
Ulmus pumila,6438a6d0-c3c5-53c8-a0c1-c669528ae05f,1.00
Fraxinus americana,87fa82a7-ea95-583a-9917-dd34005895b4,1.00
Laurus nobilis 'Saratoga',c84f2784-4eed-5cca-904c-98da5c61fbfc,0.90
Acer,2c3e1e43-b884-5a1f-a3ed-defa50dd309b,0.70
Platanus racemosa,887bf022-3b31-549c-8400-9b6f371d0293,1.00
Ulmus,a40af43e-f1a8-5b93-ae6f-77bf177ce510,0.70
Acer negundo,d348f8b4-f4f2-5ae6-945d-0b29372307f9,1.00
Yucca gloriosa,c118958b-45ae-5b77-9484-6a3a749d6c7f,1.00
Malus,739c7107-6028-5eea-81a6-a09abb7d1406,0.70
Tilia tomentosa,1a46577c-59c4-5f35-8297-1de9f2402ca4,1.00
Ulmus x 'Frontier',f3b08b72-1805-5cb9-8a45-325eade8b6c8,0.75
Podocarpus gracilior,93a86c4b-c3c2-56f6-9eef-a46d372c5ea5,1.00
Pyrus,7651c321-45ed-594d-a98b-c95f3752b1ff,0.70
Pyrus calleryana 'Aristocrat',67b5f54b-b2b3-5914-aa1a-cab243de56e9,0.90
Acacia melanoxylon,a6669e1b-f3be-5892-b6ac-f511994ee7aa,1.00
Fraxinus americana 'Autumn Purple',dd7c759f-bbcc-55b7-ae3a-e43dc6dac0b6,0.90
Tilia cordata,d4c85034-f65a-58ba-b069-b2b837e634b7,1.00
Ulmus procera,a1a09ad5-7acb-5f69-a138-277bc3861e20,1.00
Koelreuteria bipinnata,0e2e3a4c-48e4-5113-9c9f-c197f5be6cc6,1.00
Chionanthus retusus,235bfca9-b40a-5491-b5dd-f25ece4649f0,1.00
Quercus frainetto,5c4aea7b-60dc-5168-bb3b-57a1b70f563f,1.00
Robinia ambigua 'Idahoensis',5cde1b23-3854-5400-ba62-42fefe6590a7,0.90
Sophora japonica,a256c3e2-fbf5-5212-957e-fc39fe9d4aa3,1.00
Eucalyptus polyanthemos,455ef35e-d583-5aae-bbd9-fa6813411cfa,1.00
Lophostemon confertus,ea4f4595-b255-56a6-bfe9-b57d41267457,1.00
Myoporum laetum,2b2624b2-e6a3-5d29-9a9e-edb57eb12e9c,1.00
Pinus,11bf2253-8f59-51a6-b053-913e2afc4ba0,0.70
Carpinus betulus 'Fastigiata',3d4962bc-5fba-5eee-8200-4aa09466f95e,0.90
Viburnum odoratissimum,ef94a36e-ac4c-5601-a4ad-97ef6ccfa2a3,1.00
Sambucus mexicana,2895f4d5-1f01-5ca6-ab58-447ca56e01f2,1.00
Celtis australis,419930ce-7120-53ec-bcb7-e4485fdd812a,1.00
Liriodendron tulipifera,22570857-6689-52dd-856c-630e8306c299,1.00
Prunus armenica,374a1d96-fe8c-51bf-89eb-21c047bcc30d,1.00
Catalpa speciosa,1dfe11ee-f42c-5bea-969e-83b6b1dd472e,1.00
Maytenus boaria 'Green Showers',04bc43cd-ee0c-513d-99c3-92ec3df2f521,0.90
Arbutus unedo,83a6595f-4903-5cb3-9427-b3e8c7d7d031,1.00
Crataegus phaenopyrum,abeacb77-f5ea-598b-b815-af18f3353a04,1.00
Morus,273fd810-ac7f-5345-add1-45aafef90c6e,0.70
Pinus halepensis,5b18f98f-34e5-52c8-aa5f-bbe276b8515e,1.00
Photinia fraseri,9bcffe56-c7bc-5d0c-a5f3-e95a30dd2e8d,1.00
Zelkova serrata 'Musashino',b0dbb2f0-1f3e-5560-90a1-2ea5f5b3557a,0.90
Aesculus carnea,7cafeb68-c0af-5c76-8b21-a372078ac8db,1.00
Carya illinoinensis,582d3915-6818-51c5-a073-5993644bfafb,1.00
Eucalyptus,5114a741-9bb4-5922-93c6-c98a4f1b1e80,0.70
Prunus caroliniana,9745b980-4fcd-57d4-b908-d30433639476,1.00
Acer platanoides 'Schwedler',3e960d79-e918-57bd-8b39-1f62fbac9309,0.90
Tristania conferta,ec5a44b7-dc79-5069-8b34-9ecd78603a4f,1.00
Melaleuca linariifolia,e7507cdf-d0a4-505f-b641-cccac2e67b8a,1.00
Juniperus chinensis,1e223e2c-3110-5564-a7e0-42b46eb15e8e,1.00
Prunus lyonii,e175f05f-4095-5b36-abe2-b814cd39d340,1.00
Thuga orientalis,25acc41e-c683-5a88-9ffe-a3d81dfd04e9,1.00
Cercis canadensis 'Forest Pansy',105c3731-7d28-5bf2-951d-043fdd4b1b52,0.90
Nyssa sylvatica,383fddb5-3cee-5381-b40b-42dc05918558,1.00
Pinus pinea,296a397b-01b2-58e1-9ac8-3b7020650d4a,1.00
Cordyline australis,1630d455-2bd8-5f77-8388-9dd70b2621bb,1.00
Quercus douglasii,4ec6580b-6fcb-55bb-9444-bfcd04223a0e,1.00
Pinus radiata,c288cf24-60f6-597f-bf66-2b9b445a1a25,1.00
Quercus rubra,81e6db1f-a2e3-57bf-a230-c48b23d81b7e,1.00
Aesculus californica,d0b6328d-68fc-518e-80f6-991c1f64d237,1.00
Castanea dentata,ef58c998-a7b8-511f-a2a3-9ead4b880ca4,1.00
Schinus terebinthifolius,1be2efa6-9fd6-545d-b8a0-bebf27a7943f,1.00
Araucaria heterophylla,c9dd8f90-7f9d-5a0f-b2f6-eae8315677bd,1.00
Ficus carica,9f52120a-0194-5559-91bc-a5616f04a0fb,1.00
Callistemon citrinus,c3d51eb4-42a0-585e-8836-7912cd7198af,1.00
Laurus x Saratoga,9d1bd7f2-0d9c-5272-9dff-a7a630c8301c,0.75
Acer campestre,4113058e-62f3-56fe-a34c-d728254892b3,1.00
Magnolia soulangiana,8e318195-d262-5ba1-bb3e-b53aab11b1f7,1.00
Ulmus propinqua 'JFS-Bieberich',1a9fa030-7b2a-5fbd-9849-4986c723a03d,0.90
Diospyros kaki,3d1d7540-a598-514b-9b33-007caf6a82c0,1.00
Malus floribunda,acdd30d8-7680-5a54-a719-a414482d9392,1.00
Ulmus 'Accolade',0c8edecd-57ba-52dc-b852-9f9b1da1a1e3,0.60
Callistemon viminalis,ed867065-2def-5fd2-bccf-ea14330de3aa,1.00
Eriobotrya deflexa,a99e44cc-fdd9-5147-9ef1-e6566de12c8e,1.00
Melia azerdarach,f0df04ce-9286-555b-84da-dee6cade2338,1.00
Prunus cerasifera 'Atropurpurea',fe3d0ef0-fc38-5977-a554-ad7b5bb5765d,0.90
Quercus,fff6ccff-666b-519f-9d8a-bd6d4a9fe49b,0.70
Syzygium paniculatum,e67eeb8f-dfc6-5d03-98d5-5f0cdb118e78,1.00
Afrocarpus falcatus,50c5c9f5-cbc2-5e31-b80b-717e023dc66b,1.00
Ulmus wilsoniana 'Prospector',0efa216d-faa2-50f1-9a1c-ccf76e62fa8d,0.90
Acer macrophyllum,8378be99-d842-55f7-9a60-61e0838f52a8,1.00
Calocedrus decurrens,13e5bf65-3ec4-56d9-8724-36a8f0f06493,1.00
Carpinus betulus ‘JFS-KW1CB’,c4737011-e50a-575c-99b7-a828cdb7fd40,0.90
Styphnolobium japonicum,a274dcbb-80fb-5d23-8250-dc3650ae29af,1.00
Acer x freemanii ‘Autumn Blaze’,e7be4cdb-6e5e-56ea-bb3e-91cb00444be1,0.75
Eucalyptus globulus,4dc628b7-f764-5986-b508-63afd1836134,1.00
Zelkova serrata ‘Village Green’,78d4caf8-5005-564b-ae40-88116ce601be,0.90
Quercus engelmannii,392bfe3d-5511-5fdf-9906-25e5e82f5ff3,1.00
Robinia x ambiqua 'Purple Robe',78f85701-30c9-5efa-b98c-b9d18fac6a34,0.75
Acer x freemanii,10abcc98-d512-5a8d-b1a5-18324788bb40,0.75
Betula jacquemontii,9b8e4004-0c7c-5155-aaee-d6885f9e48cd,1.00
Lagerstroemia indica 'Muskogee',3c18412b-8749-5a50-a534-b45e39cb9b2f,0.90
Pittosporum undulatum,30e4fb9a-9350-5998-b96c-91281a4126c6,1.00
Punica granatum,6cd50414-8300-5765-9c69-ae4a7ddcfb79,1.00
Quercus kelloggii,a6427b6e-42e1-5061-89ed-a6c18935f079,1.00
Crataegus laevigata,6ec8823a-0e12-56f4-a1a0-76672fbd0672,1.00
Umbellularia californica,312e318b-9c4f-5d87-ac83-1cfc29b94e19,1.00
Juglans californica,df3ab1ff-45f8-5021-9fc6-563185946cb2,1.00
Maytenus boaria,11ef0468-ce98-5800-a4a6-20d909473c3c,1.00
Pyrus calleryana 'Chanticleer',baeb3a71-b3aa-559f-8d72-498e6e9a7966,0.90
Quercus robur,5c33d272-9bd0-51ca-9544-d019635ddac2,1.00
Tristaniopsis laurina 'Elegant',10de4265-12f3-5b16-940b-7e32a75c9d95,0.90
Acacia,8a48fecf-44ab-5461-adcc-eb47ffe1a113,0.70
Alnus rhombifolia,1a5dc353-1572-5871-b053-e696383fed8d,1.00
Brachychiton populneus,e482ee93-d64e-50a9-ad16-f957d1743c41,1.00
Corymbia maculata,f7943ea5-8367-525a-aea1-58b70d8b63a0,1.00
Cupaniopsis anacardioides,0aabf8a9-2cb6-5613-96fd-0b76d74ae003,1.00
Pyrus calleryana 'Bradford',8194800e-7200-5c99-86b1-c50daf41b20c,0.90
Cupressocyparis leylandii,9846c997-e925-51dc-997a-597110f3a0ce,1.00
Ficus,009d7824-fef1-5ca0-a898-3960e595af6d,0.70
Grevillea robusta,83ff864b-b7ff-51b4-b108-04d9703bef52,1.00
Salix,a81f075e-79a4-5b61-aa8f-e8189bcc4ac4,0.70
