[probe] armed
[probe] z18 markers=184 frames=43 fps=42.4 p50=16.7ms p95=38.3ms worst=47.3ms dropped=33 gps=0 body=198 fetch=0
[probe] z18 markers=184 frames=43 fps=42.4 p50=16.7ms p95=39.7ms worst=46.9ms dropped=36 gps=0 body=201 fetch=0
[probe] z18 markers=184 frames=42 fps=41.2 p50=16.7ms p95=41.7ms worst=47.8ms dropped=36 gps=0 body=192 fetch=0
[probe] z18 markers=184 frames=37 fps=36.5 p50=28.3ms p95=50.4ms worst=61.6ms dropped=41 gps=0 body=183 fetch=0
[probe] z18 markers=184 frames=35 fps=34.3 p50=34.5ms p95=61.4ms worst=62.4ms dropped=46 gps=0 body=177 fetch=0
[probe] z18 markers=184 frames=42 fps=41.4 p50=16.7ms p95=38.4ms worst=50.9ms dropped=38 gps=0 body=192 fetch=0
[probe] z18 markers=184 frames=39 fps=38.8 p50=16.7ms p95=49.9ms worst=54.3ms dropped=31 gps=0 body=189 fetch=0
[probe] z18 markers=184 frames=43 fps=42.5 p50=16.7ms p95=41.3ms worst=46.8ms dropped=37 gps=0 body=198 fetch=0
[probe] z18 markers=184 frames=39 fps=38.6 p50=20.1ms p95=46.6ms worst=52.5ms dropped=38 gps=0 body=181 fetch=0
[probe] z18 markers=184 frames=42 fps=41.8 p50=16.7ms p95=37.2ms worst=46.7ms dropped=37 gps=0 body=187 fetch=0
[probe] z18 markers=184 frames=44 fps=43.9 p50=16.7ms p95=37.8ms worst=46.2ms dropped=28 gps=0 body=200 fetch=0
[probe] z18 markers=184 frames=37 fps=36.4 p50=27.8ms p95=47.7ms worst=47.9ms dropped=42 gps=0 body=183 fetch=0
[probe] z18 markers=184 frames=44 fps=43.4 p50=16.7ms p95=38.5ms worst=41.6ms dropped=32 gps=0 body=198 fetch=0
[probe] z18 markers=184 frames=37 fps=36.3 p50=33.5ms p95=50.4ms worst=51.3ms dropped=41 gps=0 body=189 fetch=0
[probe] z18 markers=184 frames=39 fps=38.9 p50=16.7ms p95=47.8ms worst=51.0ms dropped=37 gps=0 body=180 fetch=0
[probe] z18 markers=184 frames=40 fps=38.7 p50=25.3ms p95=48.9ms worst=49.6ms dropped=41 gps=0 body=187 fetch=0
[probe] z18 markers=184 frames=40 fps=39.4 p50=22.5ms p95=44.2ms worst=47.7ms dropped=40 gps=0 body=186 fetch=0
[probe] z18 markers=184 frames=39 fps=39.0 p50=16.7ms p95=48.3ms worst=60.5ms dropped=38 gps=0 body=189 fetch=0
[probe] z18 markers=184 frames=43 fps=42.3 p50=16.7ms p95=37.4ms worst=48.1ms dropped=38 gps=0 body=195 fetch=0
