[probe] armed
[probe] z18 markers=194 frames=2 fps=1.7 p50=745.6ms p95=745.6ms worst=745.6ms dropped=1 gps=0 body=16 fetch=0
[probe] z18 markers=194 frames=2 fps=1.9 p50=564.4ms p95=564.4ms worst=564.4ms dropped=0 gps=0 body=8 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=554.0ms p95=554.0ms worst=554.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=570.6ms p95=570.6ms worst=570.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=564.3ms p95=564.3ms worst=564.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=580.7ms p95=580.7ms worst=580.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=747.7ms p95=747.7ms worst=747.7ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=553.1ms p95=553.1ms worst=553.1ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=557.0ms p95=557.0ms worst=557.0ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.9 p50=541.3ms p95=648.8ms worst=648.8ms dropped=1 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=837.0ms p95=837.0ms worst=837.0ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=749.5ms p95=749.5ms worst=749.5ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=562.5ms p95=562.5ms worst=562.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=733.8ms p95=733.8ms worst=733.8ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=556.3ms p95=556.3ms worst=556.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=559.3ms p95=559.3ms worst=559.3ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=2.0 p50=548.0ms p95=548.0ms worst=548.0ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=554.7ms p95=554.7ms worst=554.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=561.6ms p95=561.6ms worst=561.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=562.2ms p95=562.2ms worst=562.2ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=833.7ms p95=833.7ms worst=833.7ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=559.8ms p95=559.8ms worst=559.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=731.2ms p95=731.2ms worst=731.2ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=560.4ms p95=560.4ms worst=560.4ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=564.8ms p95=564.8ms worst=564.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=581.8ms p95=581.8ms worst=581.8ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=571.7ms p95=571.7ms worst=571.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=3 fps=1.7 p50=589.8ms p95=758.8ms worst=758.8ms dropped=1 gps=0 body=18 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=834.8ms p95=834.8ms worst=834.8ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=582.1ms p95=582.1ms worst=582.1ms dropped=0 gps=0 body=12 fetch=0
