[probe] armed
[probe] z18 markers=194 frames=2 fps=1.4 p50=798.0ms p95=798.0ms worst=798.0ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=780.2ms p95=780.2ms worst=780.2ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=872.7ms p95=872.7ms worst=872.7ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=809.0ms p95=809.0ms worst=809.0ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=794.3ms p95=794.3ms worst=794.3ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=717.1ms p95=717.1ms worst=717.1ms dropped=0 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=607.9ms p95=607.9ms worst=607.9ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=803.9ms p95=803.9ms worst=803.9ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=614.6ms p95=614.6ms worst=614.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.7 p50=611.7ms p95=611.7ms worst=611.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=632.7ms p95=632.7ms worst=632.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=806.4ms p95=806.4ms worst=806.4ms dropped=1 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=624.7ms p95=624.7ms worst=624.7ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.2 p50=909.2ms p95=909.2ms worst=909.2ms dropped=0 gps=0 body=17 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=859.3ms p95=859.3ms worst=859.3ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=617.6ms p95=617.6ms worst=617.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.3 p50=919.7ms p95=919.7ms worst=919.7ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=746.5ms p95=746.5ms worst=746.5ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=2.0 p50=503.9ms p95=503.9ms worst=503.9ms dropped=0 gps=0 body=10 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=791.6ms p95=791.6ms worst=791.6ms dropped=0 gps=0 body=14 fetch=0
[probe] z18 markers=194 frames=2 fps=1.6 p50=610.6ms p95=610.6ms worst=610.6ms dropped=0 gps=0 body=12 fetch=0
[probe] z18 markers=194 frames=2 fps=1.8 p50=592.8ms p95=592.8ms worst=592.8ms dropped=0 gps=0 body=11 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=874.2ms p95=874.2ms worst=874.2ms dropped=0 gps=0 body=15 fetch=0
[probe] z18 markers=194 frames=2 fps=1.5 p50=806.8ms p95=806.8ms worst=806.8ms dropped=1 gps=0 body=13 fetch=0
[probe] z18 markers=194 frames=2 fps=1.4 p50=898.5ms p95=898.5ms worst=898.5ms dropped=1 gps=0 body=14 fetch=0
